timestamp,ir temperature in ºC (SHT 31),humidity in % (SHT 31),atmospheric pressure in kPa (MPL3115A25),light in Lux (BH1730FVC),PM 1 in ug/m3 (PMS 5003),PM 10 in ug/m3 (PMS 5003),PM 2.5 in ug/m3 (PMS 5003),CO in kOhm (MICS 4514),NO2 in kOhm (MICS 4514),battery in % (Battery SCK 2.0)
2018-08-30 10:40:00 UTC,27.402,58.758,101.954,557.99,12.8,20.8,19.2,153.486,260.516,1.6
2018-08-30 10:50:00 UTC,27.32,56.284,101.995,583.445,15.4,25.1,22.7,93.47,341.006,7.3
2018-08-30 11:00:00 UTC,27.468,54.695,102.022,676.843,16.8,26.3,25,71.706,362.963,15.5
2018-08-30 11:10:00 UTC,27.751,53.392,102.04,663.961,17,28.3,25.8,52.996,370.418,23.3
2018-08-30 11:20:00 UTC,27.887,53.312,102.06,784.61,14,23.2,21.4,51.772,373.607,30.9
2018-08-30 11:30:00 UTC,27.849,53.855,102.074,985.315,13.4,21.9,20.3,56.339,379.05,38.5
2018-08-30 11:40:00 UTC,27.839,54.077,102.068,986.087,13.7,21.5,20,49.021,379.728,46.1
2018-08-30 11:50:00 UTC,28.394,53.761,102.083,886.388,15.4,24.3,22.6,31.985,377.292,53.7
2018-08-30 12:00:00 UTC,27.9655555555556,54.8122222222222,102.093333333333,901.914444444444,15.1111111111111,24,22.7777777777778,43.9488888888889,382.812222222222,61.5555555555556
2018-08-30 12:10:00 UTC,27.4022222222222,56.11,102.09,1104.51,14,23.1111111111111,21.3333333333333,43.6888888888889,382.558888888889,68.7777777777778
2018-08-30 12:20:00 UTC,28.2,54.829,102.094,1205.408,13.9,22.5,21,39.557,383.162,76.3
2018-08-30 12:30:00 UTC,28.45,54.378,102.107,1044.333,12.3,19.9,18.6,48.359,384.353,83.5
2018-08-30 12:40:00 UTC,28.099,55.283,102.11,1096.997,11.8,18.7,17.2,53.298,384.723,91.2
2018-08-30 12:50:00 UTC,28.269,54.741,102.108,1220.449,11.5,18.5,17.2,49.591,385.439,97.8
2018-08-30 13:00:00 UTC,28.383,53.874,102.112,1517.005,10.8,17.9,16.8,58.631,386.783,99
2018-08-30 13:10:00 UTC,28.857,53.3,102.118,1562.457,11.6,18.4,17.2,45.478,384.896,99
2018-08-30 13:20:00 UTC,28.939,52.249,102.123,1681.58,11.6,18,16.9,45.257,387.035,99
2018-08-30 13:30:00 UTC,29.012,51.339,102.117,1988.805,11.7,18.7,17.3,36.669,384.081,99
2018-08-30 13:40:00 UTC,29.182,50.706,102.129,2138.235,10.9,17.6,16.3,50.22,390.816,99
2018-08-30 13:50:00 UTC,28.5625,49.13625,102.11875,1991.6375,10.875,17,16,61.07,391.05375,99
2018-08-30 14:00:00 UTC,28.525,47.84,102.098,1864.132,10.2,15.8,15.1,42.285,385.51,99
2018-08-30 14:10:00 UTC,28.755,46.234,102.098,1953.268,9.9,15.5,14.5,47.998,386.692,99
2018-08-30 14:20:00 UTC,28.8344444444444,44.9977777777778,102.096666666667,2081.34777777778,9.66666666666667,15,14.1111111111111,40.5466666666667,386.417777777778,99
2018-08-30 14:30:00 UTC,28.9283333333333,47.385,102.098333333333,2122.39833333333,10.1666666666667,16.8333333333333,15.5,44.0533333333333,386.901666666667,99
2018-08-30 14:40:00 UTC,29.0542857142857,47.6514285714286,102.098571428571,2268.26571428571,11,17.4285714285714,16.4285714285714,39.4728571428571,386.53,99
2018-08-30 14:50:00 UTC,29.438,47.657,102.098,2371.066,11.5,17.6,16.4,33.392,384.169,99
2018-08-30 15:00:00 UTC,28.969,47.602,102.085,2519.666,10.4,17.2,15.9,71.874,401.041,99
2018-08-30 15:10:00 UTC,29.2911111111111,46.7277777777778,102.096666666667,2390.89888888889,10.2222222222222,16.1111111111111,14.7777777777778,36.8533333333333,385.423333333333,99
2018-08-30 15:20:00 UTC,28.937,47.554,102.082,2525.303,10,15.7,14.4,53.639,393.767,99
2018-08-30 15:30:00 UTC,28.93,47.764,102.071,2745.218,10.4,16.2,15,41.779,385.566,99
2018-08-30 15:40:00 UTC,28.7922222222222,47.7344444444444,102.044444444444,2878.91,9.33333333333333,14.2222222222222,13.5555555555556,43.71,387.013333333333,99
2018-08-30 15:50:00 UTC,28.6,47.79875,102.05,2789.9775,9.375,14.75,13.5,63.50625,395.96125,99
2018-08-30 16:00:00 UTC,28.513,48.121,102.027,1825.518,9,13.7,13,50.163,386.166,99
2018-08-30 16:10:00 UTC,28.751,48.226,102.037,935.318,9.1,14.3,13,40.517,385.908,99
2018-08-30 16:20:00 UTC,28.508,49.086,102.026,923.212,9,13.8,13.2,39.177,384.753,99
2018-08-30 16:30:00 UTC,28.638,48.58,102.024,366.685,11.7,19.2,18.1,43.374,384.624,99
2018-08-30 16:40:00 UTC,28.223,48.732,102.026,1764.415,8.1,13,11.8,53.306,387.784,99
2018-08-30 16:50:00 UTC,28.083,48.983,102.03,1864.165,9,13.8,13,37.147,386.082,99
2018-08-30 17:00:00 UTC,27.95,49.249,101.993,1666.436,9.5,14.4,13.8,30.356,385.168,99
2018-08-30 17:10:00 UTC,29.282,49.696,101.992,525.049,9.6,14.5,13.3,23.893,383.021,99
2018-08-30 17:20:00 UTC,28.68875,49.91125,101.9975,2146.2425,8.375,14.25,12.5,31.8025,383.62875,99
2018-08-30 17:30:00 UTC,28.655,49.951,101.994,1675.564,9.4,15.3,14.1,30.019,384.962,99
2018-08-30 17:40:00 UTC,29.376,50.444,101.991,450.73,9.8,14.8,14,26.064,382.848,99
2018-08-30 17:50:00 UTC,28.5,50.688,102.012,2174.037,9.7,15.3,14.2,25.215,382.426,99
2018-08-30 18:00:00 UTC,27.5355555555556,52.1411111111111,101.983333333333,1176.76333333333,10.7777777777778,17.3333333333333,16.1111111111111,43.5055555555556,386.741111111111,99
2018-08-30 18:10:00 UTC,27.048,53.251,101.973,1126.942,10.8,18.2,16.8,57.42,395.968,99
2018-08-30 18:20:00 UTC,27.045,54.086,101.958,1236.731,11.4,18.5,17,43.004,389.285,99
2018-08-30 18:30:00 UTC,26.737,54.73,101.941,867.378,11.2,18.7,17,45.852,388.404,99
2018-08-30 18:40:00 UTC,26.601,54.811,101.956,545.673,10.9,18.2,16.2,48.034,391.207,99
2018-08-30 18:50:00 UTC,26.415,55.445,101.951,492.771,11.1,18.8,17.6,45.759,390.177,99
2018-08-30 19:00:00 UTC,26.351,55.741,101.967,231.459,11.2,18.8,17.2,51.11,390.573,99
2018-08-30 19:10:00 UTC,26.099,55.591,101.956,201.349,10,18,16.2,66.586,397.939,99
2018-08-30 19:20:00 UTC,25.994,55.793,101.95,157.894,9.4,17.9,15.8,39.376,390.553,99
